country,total_cases,total_deaths,total_recovered,active_cases,cases_per_1M,deaths_per_1M,total_tests,tests_per_1M,life_expectancy,population,density,med_age,temp_c,health_efficiency _index,arrivals_number
World,1201443,64688,246258,890497,154,8.3,8546608,887,74.258,7582520052,61,31,18.41,,1286467700
United States,311357,8452,14825,288080,941,26,1632955,4933,79.11,331002651,36,38,8.55,0.838,76941000
Spain,126168,11947,34219,80002,2699,256,355000,7593,83.99,46754778,94,45,13.3,0.972,81786000
Italy,124632,15362,20996,88274,2061,254,657224,10870,84.01,60461826,206,47,13.45,0.991,58253000
Germany,96092,1444,26400,68248,1147,17,918460,10962,81.88,83783942,240,46,8.5,0.902,37452000
France,89953,7560,15438,66955,1378,116,224254,3436,83.13,65273511,119,42,10.7,0.994,86861000
China,81639,3326,76755,1558,57,2,0,0,77.47,1439323776,153,38,6.95,0.485,60740000
Iran,55743,3452,19736,32555,664,41,186000,2214,77.33,83992949,52,32,17.25,0.659,4867000
United Kingdom,41903,4313,135,37455,617,64,183190,2698,81.77,67886011,281,40,8.45,0.925,37651000
Turkey,23934,501,786,22647,284,6,161380,1913,78.45,84339067,110,32,11.1,0.734,37601000
Switzerland,20505,666,6415,13424,2369,77,153440,17729,84.25,8654622,219,43,5.5,0.916,9889000
Belgium,18431,1283,3247,13901,1590,111,70000,6040,82.17,11589623,383,42,9.55,0.915,8385000
Netherlands,16627,1651,250,14726,970,96,75415,4401,82.78,17134872,508,43,9.25,0.928,17924000
Canada,13912,231,2595,11086,369,6,317972,8425,82.96,37742154,4,41,5.35,0.881,20798000
Austria,11781,186,2507,9088,1308,21,104134,11562,82.05,9006398,109,43,6.35,0.959,29460000
Portugal,10524,266,75,10183,1032,26,81087,7952,82.65,10196709,111,46,15.15,0.945,15432000
Brazil,10360,445,127,9788,49,2,54824,258,76.57,212559417,25,33,24.95,0.573,6589000
South Korea,10156,177,6325,3654,198,3,455032,8875,83.5,51269185,527,44,11.5,0.759,13336000
