countries,dateRep,cases,temp_f,moving_avg_temp,humidity ,moving_avg_humidity,wind_speed,moving_avg_wind_speed,quarantine_days
Italy,1/1/2020,0,36.3,,85.5,,2.2,,0
Italy,2/1/2020,0,35.2,,86.8,,2.7,,0
Italy,3/1/2020,0,37.8,,88.2,,1.8,,0
Italy,4/1/2020,0,39.9,,79.7,,3.8,,0
Italy,5/1/2020,0,40.6,,76,,2.3,,0
Italy,6/1/2020,0,34.4,,94.8,,2.6,,0
Italy,7/1/2020,0,32.4,36.65714286,99.1,87.15714286,3.7,2.728571429,0
Italy,8/1/2020,0,33.1,36.2,98.8,89.05714286,3.8,2.957142857,0
Italy,9/1/2020,0,33.4,35.94285714,95.6,90.31428571,2.5,2.928571429,0
Italy,10/1/2020,0,40.3,36.3,89,90.42857143,2.6,3.042857143,0
Italy,11/1/2020,0,37.8,36,88.4,91.67142857,2,2.785714286,0
Italy,12/1/2020,0,36.7,35.44285714,87.2,93.27142857,1.7,2.7,0
Italy,13/01/2020,0,34,35.38571429,89.3,92.48571429,1.6,2.557142857,0
Italy,14/01/2020,0,37.5,36.11428571,88.7,91,2.6,2.4,0
Italy,15/01/2020,0,41.5,37.31428571,92,90.02857143,2.3,2.185714286,0
Italy,16/01/2020,0,41.4,38.45714286,85.6,88.6,2.4,2.171428571,0
Italy,17/01/2020,0,40.7,38.51428571,81.7,87.55714286,2.9,2.214285714,0
Italy,18/01/2020,0,43,39.25714286,92.8,88.18571429,3.4,2.414285714,0
Italy,19/01/2020,0,38.5,39.51428571,90.5,88.65714286,3.5,2.671428571,0
Italy,20/01/2020,0,39.6,40.31428571,65,85.18571429,3.5,2.942857143,0
Italy,21/01/2020,0,36.3,40.14285714,77.3,83.55714286,2.5,2.928571429,0
Italy,22/01/2020,0,37.1,39.51428571,75.8,81.24285714,3.3,3.071428571,0
Italy,23/01/2020,0,37.8,39,77,80.01428571,3,3.157142857,0
Italy,24/01/2020,0,39.1,38.77142857,78.7,79.58571429,2.2,3.057142857,0
Italy,25/01/2020,0,41.5,38.55714286,84.9,78.45714286,2.6,2.942857143,0
Italy,26/01/2020,0,42.4,39.11428571,83,77.38571429,3.1,2.885714286,0
Italy,27/01/2020,0,41.4,39.37142857,83.8,80.07142857,2.1,2.685714286,0
Italy,28/01/2020,0,44.6,40.55714286,91.4,82.08571429,3.8,2.871428571,0
Italy,29/01/2020,0,44.4,41.6,75.3,82.01428571,5.2,3.142857143,0
Italy,30/01/2020,0,41.9,42.18571429,77.3,82.05714286,3.3,3.185714286,0
Italy,31/01/2020,3,44.7,42.98571429,80.9,82.37142857,3.1,3.314285714,0
Italy,1/2/2020,0,46.9,43.75714286,91.6,83.32857143,3.4,3.428571429,0
Italy,2/2/2020,0,40.8,43.52857143,96.5,85.25714286,3.4,3.471428571,0
Italy,3/2/2020,0,43.2,43.78571429,96.5,87.07142857,4.7,3.842857143,0
Italy,4/2/2020,0,48.2,44.3,69,83.87142857,11.4,4.928571429,0
Italy,5/2/2020,0,48.2,44.84285714,31.3,77.58571429,12,5.9,0
Italy,6/2/2020,0,40.8,44.68571429,48.5,73.47142857,2.8,5.828571429,0
Italy,7/2/2020,0,41.7,44.25714286,63.4,70.97142857,3.2,5.842857143,0
Italy,8/2/2020,0,42.2,43.58571429,67.8,67.57142857,2.2,5.671428571,0
